"seriesid","date"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-01-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-02-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-03-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-04-14"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-05-11"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-06-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-07-10"
"000d881d-f730-57dc-8f2d-5414b71963d1","2020-08-10"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2019-12-16"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-01-14"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-02-14"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-03-16"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-04-16"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-05-15"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-06-15"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-07-14"
"000dad29-01a8-51ba-a431-a00b6aab8f59","2020-08-14"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2019-10-01"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2019-11-01"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2019-12-02"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-01-02"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-02-03"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-03-02"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-04-01"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-05-01"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-06-01"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-07-01"
"000e00f9-d40c-5fc1-b0f5-d94ce493ed18","2020-08-03"
"000e6ec5-23dc-50c6-9a8c-0baaffb8f7dd","2019-08-01"
"000e6ec5-23dc-50c6-9a8c-0baaffb8f7dd","2019-09-02"
"000e6ec5-23dc-50c6-9a8c-0baaffb8f7dd","2019-10-01"
"000e6ec5-23dc-50c6-9a8c-0baaffb8f7dd","2019-11-01"
"000e6ec5-23dc-50c6-9a8c-0baaffb8f7dd","2019-12-02"
"000e6ec5-23dc-50c6-9a8c-0baaffb8f7dd","2020-01-02"
"000e6ec5-23dc-50c6-9a8c-0baaffb8f7dd","2020-02-03"
"000e6ec5-23dc-50c6-9a8c-0baaffb8f7dd","2020-03-02"
"000e6ec5-23dc-50c6-9a8c-0baaffb8f7dd","2020-04-01"
"000e6ec5-23dc-50c6-9a8c-0baaffb8f7dd","2020-05-01"
"000e6ec5-23dc-50c6-9a8c-0baaffb8f7dd","2020-06-01"
"000e6ec5-23dc-50c6-9a8c-0baaffb8f7dd","2020-07-01"
"000e6ec5-23dc-50c6-9a8c-0baaffb8f7dd","2020-08-03"
"000ee920-83ac-5b42-ad17-f0c8a1d9d4da","2020-05-18"
"000ee920-83ac-5b42-ad17-f0c8a1d9d4da","2020-06-19"
"000ee920-83ac-5b42-ad17-f0c8a1d9d4da","2020-07-20"
"000ee920-83ac-5b42-ad17-f0c8a1d9d4da","2020-08-20"
"00102bb0-39c8-5c61-a76e-93b4c9514d6f","2019-12-02"
"00102bb0-39c8-5c61-a76e-93b4c9514d6f","2020-01-02"
"00102bb0-39c8-5c61-a76e-93b4c9514d6f","2020-02-03"
"00102bb0-39c8-5c61-a76e-93b4c9514d6f","2020-03-03"
"00102bb0-39c8-5c61-a76e-93b4c9514d6f","2020-04-01"
"00102bb0-39c8-5c61-a76e-93b4c9514d6f","2020-05-04"
"00102bb0-39c8-5c61-a76e-93b4c9514d6f","2020-06-01"
"00102bb0-39c8-5c61-a76e-93b4c9514d6f","2020-07-02"
"00102bb0-39c8-5c61-a76e-93b4c9514d6f","2020-08-03"
"00105225-1646-530c-8e9f-27b2fbd3ea8b","2019-09-30"
"00105225-1646-530c-8e9f-27b2fbd3ea8b","2019-10-28"
"00105225-1646-530c-8e9f-27b2fbd3ea8b","2019-11-28"
"00105225-1646-530c-8e9f-27b2fbd3ea8b","2019-12-30"
"00105225-1646-530c-8e9f-27b2fbd3ea8b","2020-01-28"
"00105225-1646-530c-8e9f-27b2fbd3ea8b","2020-02-28"
"00105225-1646-530c-8e9f-27b2fbd3ea8b","2020-03-30"
"00105225-1646-530c-8e9f-27b2fbd3ea8b","2020-04-28"
"00105225-1646-530c-8e9f-27b2fbd3ea8b","2020-05-28"
"00105225-1646-530c-8e9f-27b2fbd3ea8b","2020-06-29"
"00105225-1646-530c-8e9f-27b2fbd3ea8b","2020-07-28"
"00105225-1646-530c-8e9f-27b2fbd3ea8b","2020-08-28"
"001095da-27c0-50c0-8668-13203598b7d3","2020-01-31"
"001095da-27c0-50c0-8668-13203598b7d3","2020-02-28"
"001095da-27c0-50c0-8668-13203598b7d3","2020-03-31"
"001095da-27c0-50c0-8668-13203598b7d3","2020-04-30"
"001095da-27c0-50c0-8668-13203598b7d3","2020-05-29"
"001095da-27c0-50c0-8668-13203598b7d3","2020-06-30"
"001095da-27c0-50c0-8668-13203598b7d3","2020-07-31"
"001095da-27c0-50c0-8668-13203598b7d3","2020-08-31"
"0011d3aa-d647-5223-83c5-825062d3ec93","2020-03-02"
"0011d3aa-d647-5223-83c5-825062d3ec93","2020-04-02"
"0011d3aa-d647-5223-83c5-825062d3ec93","2020-05-02"
"0011d3aa-d647-5223-83c5-825062d3ec93","2020-06-03"
"0011d3aa-d647-5223-83c5-825062d3ec93","2020-07-03"
"0011d3aa-d647-5223-83c5-825062d3ec93","2020-08-02"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2019-06-03"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2019-07-01"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2019-08-01"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2019-09-02"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2019-10-01"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2019-11-01"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2019-12-02"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2020-01-02"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2020-02-03"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2020-03-02"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2020-04-01"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2020-05-01"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2020-06-01"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2020-07-01"
"0011d3c0-a1f7-521b-845d-2904571c8e33","2020-08-03"
"0011ec9a-569e-54d4-9d89-e26fba9e116e","2020-03-02"
"0011ec9a-569e-54d4-9d89-e26fba9e116e","2020-04-01"
"0011ec9a-569e-54d4-9d89-e26fba9e116e","2020-05-01"
"0011ec9a-569e-54d4-9d89-e26fba9e116e","2020-06-01"
"0011ec9a-569e-54d4-9d89-e26fba9e116e","2020-07-01"
"0011ec9a-569e-54d4-9d89-e26fba9e116e","2020-08-03"
"0013f170-bd9e-535a-84a8-86ea6feee3fa","2019-12-20"
"0013f170-bd9e-535a-84a8-86ea6feee3fa","2020-01-20"
"0013f170-bd9e-535a-84a8-86ea6feee3fa","2020-02-20"
"0013f170-bd9e-535a-84a8-86ea6feee3fa","2020-03-20"
"0013f170-bd9e-535a-84a8-86ea6feee3fa","2020-04-20"
"0013f170-bd9e-535a-84a8-86ea6feee3fa","2020-05-20"
"0013f170-bd9e-535a-84a8-86ea6feee3fa","2020-06-22"
"0013f170-bd9e-535a-84a8-86ea6feee3fa","2020-07-20"
"0013f170-bd9e-535a-84a8-86ea6feee3fa","2020-08-20"
"0014bef7-4645-5db8-88a9-7f7da7d74e2f","2019-10-28"
"0014bef7-4645-5db8-88a9-7f7da7d74e2f","2019-11-28"
"0014bef7-4645-5db8-88a9-7f7da7d74e2f","2019-12-30"
"0014bef7-4645-5db8-88a9-7f7da7d74e2f","2020-01-30"
"0014bef7-4645-5db8-88a9-7f7da7d74e2f","2020-02-28"
"0014bef7-4645-5db8-88a9-7f7da7d74e2f","2020-03-30"
"0014bef7-4645-5db8-88a9-7f7da7d74e2f","2020-04-30"
"0014bef7-4645-5db8-88a9-7f7da7d74e2f","2020-05-30"
"0014bef7-4645-5db8-88a9-7f7da7d74e2f","2020-06-29"
"0014bef7-4645-5db8-88a9-7f7da7d74e2f","2020-07-30"
"0014bef7-4645-5db8-88a9-7f7da7d74e2f","2020-08-28"
"001517fe-82d1-5269-ad31-6b7b78491523","2020-06-02"
"001517fe-82d1-5269-ad31-6b7b78491523","2020-07-03"
"001517fe-82d1-5269-ad31-6b7b78491523","2020-07-31"
"00167462-9a8c-554e-8f2d-3c05dd688d6b","2020-03-30"
"00167462-9a8c-554e-8f2d-3c05dd688d6b","2020-04-28"
"00167462-9a8c-554e-8f2d-3c05dd688d6b","2020-05-28"
"00167462-9a8c-554e-8f2d-3c05dd688d6b","2020-06-29"
"00167462-9a8c-554e-8f2d-3c05dd688d6b","2020-07-28"
"00167462-9a8c-554e-8f2d-3c05dd688d6b","2020-08-28"
"0016bcac-b11b-513e-8e0d-1bbd5a5cf1bc","2020-06-24"
"0016bcac-b11b-513e-8e0d-1bbd5a5cf1bc","2020-07-23"
"0016bcac-b11b-513e-8e0d-1bbd5a5cf1bc","2020-08-20"
"0016d4bb-c333-513a-aac4-e4f31d67e295","2020-05-03"
"0016d4bb-c333-513a-aac4-e4f31d67e295","2020-06-02"
"0016d4bb-c333-513a-aac4-e4f31d67e295","2020-07-05"
"0016d4bb-c333-513a-aac4-e4f31d67e295","2020-08-02"
"00179d06-5144-50fd-8b44-80b02feba7b3","2019-08-05"
"00179d06-5144-50fd-8b44-80b02feba7b3","2019-09-05"
"00179d06-5144-50fd-8b44-80b02feba7b3","2019-10-07"
"00179d06-5144-50fd-8b44-80b02feba7b3","2019-11-05"
"00179d06-5144-50fd-8b44-80b02feba7b3","2019-12-05"
"00179d06-5144-50fd-8b44-80b02feba7b3","2020-01-06"
"00179d06-5144-50fd-8b44-80b02feba7b3","2020-02-05"
"00179d06-5144-50fd-8b44-80b02feba7b3","2020-03-05"
"00179d06-5144-50fd-8b44-80b02feba7b3","2020-04-06"
"00179d06-5144-50fd-8b44-80b02feba7b3","2020-05-06"
"00179d06-5144-50fd-8b44-80b02feba7b3","2020-06-09"
"00179d06-5144-50fd-8b44-80b02feba7b3","2020-07-06"
"00179d06-5144-50fd-8b44-80b02feba7b3","2020-08-05"
"00183bd2-40a5-5126-91ec-9503722cdb66","2020-04-29"
"00183bd2-40a5-5126-91ec-9503722cdb66","2020-06-02"
"00183bd2-40a5-5126-91ec-9503722cdb66","2020-07-01"
"00183bd2-40a5-5126-91ec-9503722cdb66","2020-07-31"
"00185c0e-5665-5e1f-8f44-7866556dafd8","2019-08-14"
"00185c0e-5665-5e1f-8f44-7866556dafd8","2019-09-13"
"00185c0e-5665-5e1f-8f44-7866556dafd8","2019-10-12"
"00185c0e-5665-5e1f-8f44-7866556dafd8","2019-11-13"
"00185c0e-5665-5e1f-8f44-7866556dafd8","2019-12-13"
"00185c0e-5665-5e1f-8f44-7866556dafd8","2020-01-14"
"00185c0e-5665-5e1f-8f44-7866556dafd8","2020-02-13"
"00185c0e-5665-5e1f-8f44-7866556dafd8","2020-03-13"
"00185c0e-5665-5e1f-8f44-7866556dafd8","2020-04-13"
"00185c0e-5665-5e1f-8f44-7866556dafd8","2020-05-13"
"00185c0e-5665-5e1f-8f44-7866556dafd8","2020-06-12"
"00185c0e-5665-5e1f-8f44-7866556dafd8","2020-07-13"
"00185c0e-5665-5e1f-8f44-7866556dafd8","2020-08-12"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2019-05-21"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2019-06-23"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2019-07-23"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2019-08-21"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2019-09-23"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2019-10-22"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2019-11-22"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2019-12-24"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2020-01-22"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2020-02-24"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2020-03-24"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2020-04-21"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2020-05-21"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2020-06-23"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2020-07-21"
"00186a35-0ddc-50b9-ac4d-39e4b24b4e4e","2020-08-23"
"001af18b-aac9-53ce-8569-fbae4c3cc3c8","2020-06-01"
"001af18b-aac9-53ce-8569-fbae4c3cc3c8","2020-07-01"
"001af18b-aac9-53ce-8569-fbae4c3cc3c8","2020-08-03"
"001cfede-0457-5814-81e1-0565198c41e6","2019-09-19"
"001cfede-0457-5814-81e1-0565198c41e6","2019-10-21"
"001cfede-0457-5814-81e1-0565198c41e6","2019-11-20"
"001cfede-0457-5814-81e1-0565198c41e6","2019-12-20"
"001cfede-0457-5814-81e1-0565198c41e6","2020-01-22"
"001cfede-0457-5814-81e1-0565198c41e6","2020-02-20"
"001cfede-0457-5814-81e1-0565198c41e6","2020-03-23"
"001cfede-0457-5814-81e1-0565198c41e6","2020-04-21"
"001cfede-0457-5814-81e1-0565198c41e6","2020-05-19"
"001cfede-0457-5814-81e1-0565198c41e6","2020-06-21"
"001cfede-0457-5814-81e1-0565198c41e6","2020-07-21"
